EPotencial:	ECinetica:	ETotal:
-0.079907,	0.040229,	-0.039678
-0.080129,	0.040341,	-0.039788
-0.080352,	0.040453,	-0.039899
-0.080575,	0.040565,	-0.040009
-0.080797,	0.040677,	-0.040120
-0.081020,	0.040789,	-0.040230
-0.081242,	0.040901,	-0.040341
-0.081465,	0.041013,	-0.040452
-0.081687,	0.041125,	-0.040562
-0.081910,	0.041237,	-0.040673
-0.082133,	0.041350,	-0.040783
-0.082355,	0.041462,	-0.040894
-0.082578,	0.041574,	-0.041004
-0.082800,	0.041686,	-0.041115
-0.083023,	0.041798,	-0.041225
-0.083246,	0.041910,	-0.041336
-0.083468,	0.042022,	-0.041446
-0.083691,	0.042134,	-0.041557
-0.083913,	0.042246,	-0.041667
-0.084136,	0.042358,	-0.041778
-0.084359,	0.042470,	-0.041888
-0.084581,	0.042582,	-0.041999
-0.084804,	0.042694,	-0.042109
-0.085026,	0.042806,	-0.042220
-0.085249,	0.042918,	-0.042330
-0.085471,	0.043031,	-0.042441
-0.085694,	0.043143,	-0.042551
-0.085917,	0.043255,	-0.042662
-0.086139,	0.043367,	-0.042773
-0.086362,	0.043479,	-0.042883
-0.086584,	0.043591,	-0.042994
-0.086807,	0.043703,	-0.043104
-0.087030,	0.043815,	-0.043215
-0.087252,	0.043927,	-0.043325
-0.087475,	0.044039,	-0.043436
-0.087697,	0.044151,	-0.043546
-0.087920,	0.044263,	-0.043657
-0.088143,	0.044375,	-0.043767
-0.088365,	0.044487,	-0.043878
-0.088588,	0.044599,	-0.043988
-0.088810,	0.044711,	-0.044099
-0.089033,	0.044824,	-0.044209
-0.089255,	0.044936,	-0.044320
-0.089478,	0.045048,	-0.044430
-0.089701,	0.045160,	-0.044541
-0.089923,	0.045272,	-0.044651
-0.090146,	0.045384,	-0.044762
-0.090368,	0.045496,	-0.044872
-0.090591,	0.045608,	-0.044983
-0.090814,	0.045720,	-0.045094
-0.091036,	0.045832,	-0.045204
-0.091259,	0.045944,	-0.045315
-0.091481,	0.046056,	-0.045425
-0.091704,	0.046168,	-0.045536
-0.091927,	0.046280,	-0.045646
-0.092149,	0.046392,	-0.045757
-0.092372,	0.046505,	-0.045867
-0.092594,	0.046617,	-0.045978
-0.092817,	0.046729,	-0.046088
-0.093039,	0.046841,	-0.046199
-0.093262,	0.046953,	-0.046309
-0.093485,	0.047065,	-0.046420
-0.093707,	0.047177,	-0.046530
-0.093930,	0.047289,	-0.046641
-0.094152,	0.047401,	-0.046751
-0.094375,	0.047513,	-0.046862
-0.094598,	0.047625,	-0.046972
-0.094820,	0.047737,	-0.047083
-0.095043,	0.047849,	-0.047193
-0.095265,	0.047961,	-0.047304
-0.095488,	0.048073,	-0.047415
-0.095711,	0.048186,	-0.047525
-0.095933,	0.048298,	-0.047636
-0.096156,	0.048410,	-0.047746
